label,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.35398417711257935,0.288804292678833,0.31143859028816223,0.2644096910953522,0.17115077376365662,0.19494947791099548,0.4771232604980469,0.9655318260192871,0.7053493857383728,0.34975284337997437,0.318827360868454,0.3453652858734131
G,0.49938881397247314,0.40921294689178467,0.4836125373840332,0.42638084292411804,0.21679100394248962,0.18954679369926453,0.4166935384273529,0.936883270740509,0.7042508721351624,0.36136922240257263,0.41394853591918945,0.48533692955970764
G,0.5419832468032837,0.4619501531124115,0.5582835078239441,0.511330783367157,0.28418058156967163,0.2576906383037567,0.5171908736228943,0.8867901563644409,0.6675449013710022,0.41482314467430115,0.44559866189956665,0.5174009203910828
G,0.49012383818626404,0.42806681990623474,0.5220315456390381,0.41622394323349,0.21560555696487427,0.1945277601480484,0.447296679019928,0.9652932286262512,0.6487429738044739,0.36593469977378845,0.4302496016025543,0.4845980405807495
G,0.3259676694869995,0.290027379989624,0.3573530316352844,0.2728075385093689,0.1558990776538849,0.17453649640083313,0.501798152923584,0.9682148694992065,0.6516548991203308,0.2943529784679413,0.30463775992393494,0.3352544605731964
G,0.452035516500473,0.5457482933998108,0.7395215034484863,0.43818339705467224,0.23818080127239227,0.3001501262187958,0.6682134866714478,0.8145148754119873,0.536806583404541,0.39570823311805725,0.3922828137874603,0.42963746190071106
G,0.6074904799461365,0.5424150824546814,0.660794198513031,0.5452256202697754,0.29828232526779175,0.2560661733150482,0.49938157200813293,0.8119292259216309,0.5957896113395691,0.40759581327438354,0.5001659989356995,0.6138593554496765
G,0.5553844571113586,0.5070989727973938,0.6157258152961731,0.5515189170837402,0.2850140333175659,0.24414101243019104,0.48421451449394226,0.8755914568901062,0.6804728507995605,0.3963191509246826,0.4334696829319,0.5594388246536255
G,0.45670923590660095,0.446691632270813,0.5629493594169617,0.44921427965164185,0.2082146257162094,0.19416794180870056,0.45246464014053345,0.8403037786483765,0.5946375131607056,0.34500178694725037,0.3763808012008667,0.448098748922348
G,0.44758307933807373,0.3170663118362427,0.34322699904441833,0.29088228940963745,0.18754850327968597,0.19068478047847748,0.4689222276210785,0.974895715713501,0.6754558086395264,0.33683425188064575,0.39291146397590637,0.46035829186439514
G,0.408485472202301,0.31888771057128906,0.3411616384983063,0.3128754198551178,0.22759146988391876,0.26662129163742065,0.5752863883972168,0.939702033996582,0.7150442600250244,0.48110899329185486,0.41767698526382446,0.4213957190513611
G,0.3589102029800415,0.4154413342475891,0.5704929232597351,0.538311779499054,0.30126509070396423,0.29410141706466675,0.5755322575569153,0.8700762987136841,0.6620852947235107,0.4410625696182251,0.32602953910827637,0.32610389590263367
G,0.47247445583343506,0.5446411967277527,0.7409692406654358,0.6949043869972229,0.35174933075904846,0.2710518538951874,0.45564723014831543,0.7245925068855286,0.5756188035011292,0.39864400029182434,0.35945993661880493,0.42671999335289
G,0.44375181198120117,0.5017900466918945,0.6979321837425232,0.5807304382324219,0.27099141478538513,0.24595433473587036,0.5317738652229309,0.7875465750694275,0.550221860408783,0.36902979016304016,0.35371077060699463,0.41379696130752563
G,0.4326659142971039,0.5982912182807922,0.8260036110877991,0.5634011030197144,0.29516157507896423,0.30412015318870544,0.521241307258606,0.5885230302810669,0.4724176824092865,0.3861803412437439,0.32279694080352783,0.36821869015693665
G,0.4426509141921997,0.44461789727211,0.6035621166229248,0.5955602526664734,0.29684728384017944,0.2608892023563385,0.5571858882904053,0.8472910523414612,0.6040462255477905,0.38380226492881775,0.35747191309928894,0.4138483703136444
G,0.4106975793838501,0.35682058334350586,0.47599515318870544,0.38877519965171814,0.23240302503108978,0.26754236221313477,0.6275627017021179,0.9528172016143799,0.6345804929733276,0.352336049079895,0.3859843611717224,0.4273979365825653
G,0.3591092526912689,0.2996484637260437,0.35647040605545044,0.3072423040866852,0.16043242812156677,0.18592745065689087,0.5157986879348755,0.960065484046936,0.6826847791671753,0.29119792580604553,0.29978159070014954,0.35272833704948425
G,0.5581767559051514,0.5194975733757019,0.6109933257102966,0.5578864216804504,0.3253593444824219,0.31634917855262756,0.5718937516212463,0.8340052962303162,0.68638676404953,0.5452143549919128,0.49981415271759033,0.5471727848052979
G,0.6092560291290283,0.4834415018558502,0.5287027359008789,0.4857035279273987,0.2626687288284302,0.22403626143932343,0.4820921719074249,0.9004191756248474,0.6600514054298401,0.356938898563385,0.4503442347049713,0.5788585543632507
G,0.48982399702072144,0.5656711459159851,0.7543601393699646,0.6806362271308899,0.35737869143486023,0.27529290318489075,0.4412589371204376,0.6716580986976624,0.5490575432777405,0.41143110394477844,0.3732491433620453,0.4358822703361511
G,0.4887395203113556,0.4255681037902832,0.5558093786239624,0.43603190779685974,0.25144392251968384,0.25327497720718384,0.5339728593826294,0.8896061778068542,0.6479580998420715,0.4103938639163971,0.4190077781677246,0.4992385506629944
G,0.45220550894737244,0.3632069230079651,0.43564099073410034,0.3728106915950775,0.21135859191417694,0.22209513187408447,0.48760986328125,0.8873344659805298,0.6744712591171265,0.40453824400901794,0.418936163187027,0.46957939863204956
G,0.33810457587242126,0.255923330783844,0.2837778925895691,0.26268529891967773,0.19696857035160065,0.2313234508037567,0.568903923034668,0.9857118725776672,0.6913682222366333,0.32073843479156494,0.3073464334011078,0.3490365147590637
G,0.426690012216568,0.3511086404323578,0.3619415760040283,0.3293084502220154,0.2482302188873291,0.27400508522987366,0.5596449375152588,0.9647018313407898,0.7705527544021606,0.5105652809143066,0.42864078283309937,0.4319581091403961
G,0.5832294821739197,0.6016581654548645,0.72518390417099,0.6299653053283691,0.345710813999176,0.31621789932250977,0.566980242729187,0.7076581120491028,0.5536549687385559,0.4735475778579712,0.4551241099834442,0.5330634713172913
G,0.3698861300945282,0.4510546624660492,0.6797728538513184,0.5661579370498657,0.2372373342514038,0.21503204107284546,0.4740232825279236,0.8072446584701538,0.5817674994468689,0.37055104970932007,0.33026039600372314,0.34054064750671387
G,0.3490147292613983,0.48595795035362244,0.6983908414840698,0.638721227645874,0.32265013456344604,0.2933996021747589,0.5434623956680298,0.783745527267456,0.5841079950332642,0.4040161669254303,0.2837187647819519,0.29386648535728455
